      -------Part 1--------   -------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   00:16:07    544      0   00:16:44    492      0
 24   03:54:32   1503      0   03:54:42   1403      0
 23   03:13:09   2864      0   08:28:05   3002      0
 22   00:24:37   2110      0   00:49:19    181      0
 21   00:07:55    351      0   00:48:40    961      0
 20   00:41:11   1264      0   00:42:02   1054      0
 19   01:06:31    142      0   01:10:23    128      0
 18   01:36:01   1126      0   01:42:03   1073      0
 17   00:11:45    295      0   00:13:32    137      0
 16   00:59:51   1728      0   02:19:37   3617      0
 15   00:19:58   1143      0   00:31:01    664      0
 14   00:11:16   1088      0   00:34:28   1213      0
 13   00:10:22    404      0   00:18:04    676      0
 12   00:28:53   2580      0   00:42:22   2159      0
 11   00:34:16   3056      0   00:36:53   2812      0
 
