      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 16   00:49:28   495      0   02:54:49  1018      0
 15   00:25:10  1042      0   00:59:26  1176      0
 14   00:29:16  1701      0   00:32:26  1323      0
 13   00:25:10  1486      0   00:31:32  1288      0
 12   00:21:13  1137      0   00:30:16  1528      0
 11   00:14:11   141      0   00:27:38   431      0
 10   00:19:15  3776      0   00:29:46  2177      0
  9   00:08:17   166      0   00:13:06    73     28
  8   00:15:14  1953      0   00:47:11  4652      0
  7   00:23:04  1120      0   00:25:54   816      0
  6   00:07:47  4454      0   00:08:35  3618      0
  5   00:09:56   446      0   00:12:26   490      0
  4   00:05:39  1711      0   00:07:24  1293      0
  3   00:09:16  2421      0   00:12:52  1577      0
  2   00:09:14  2440      0   00:13:18  1857      0
  1   00:13:30  6540      0   00:14:21  5276      0
